Block,BreakableBrickBlock,1,5,NONE
Block,BreakableBrickBlock,2,9,NONE
Block,QuestionBlock,2,5,COIN
Block,BreakableBrickBlock,3,9,NONE
Block,QuestionBlock,3,5,COIN
Block,BreakableBrickBlock,4,5,NONE
Block,DiamondBlock,7,12
Block,DiamondBlock,8,12
Block,DiamondBlock,8,11
Block,DiamondBlock,9,12
Block,DiamondBlock,9,11
Block,DiamondBlock,9,10
Block,DiamondBlock,10,12
Block,DiamondBlock,10,11
Block,DiamondBlock,10,10
Block,DiamondBlock,10,9
Block,DiamondBlock,13,12
Block,DiamondBlock,13,11
Block,DiamondBlock,13,10
Block,DiamondBlock,13,9
Block,DiamondBlock,14,12
Block,DiamondBlock,14,11
Block,DiamondBlock,14,10
Block,DiamondBlock,15,12
Block,DiamondBlock,15,11
Block,DiamondBlock,16,12


